,found_true_positive
img_128.png,False
img_136.png,True
img_112.png,False
img_113.png,False
img_145.png,False
img_130.png,False
img_129.png,False
img_126.png,False
img_141.png,True
img_127.png,False
img_124.png,False
img_125.png,False
img_138.png,True
img_114.png,True
img_139.png,False
img_133.png,True
img_142.png,False
img_131.png,False
img_14.png,False
img_117.png,False
img_140.png,False
img_111.png,True
img_144.png,True
img_119.png,False
img_135.png,True
img_12.png,False
img_115.png,True
img_110.png,False
img_10.png,False
img_137.png,True
img_134.png,True
img_11.png,False
img_116.png,False
img_132.png,True
img_143.png,False
img_13.png,False
